,pib_per_capita
389,1163.93507106399
390,1557.8217276325
391,16655.4823926609
392,19724.4259457229
393,55912.3464235742
394,8539.12525406418
395,1947.31489080729
396,9141.85669767021
397,1006.97122358255
398,20181.4415055501
399,9056.99792745385
400,8820.6349663163
401,1284.110682047
402,1051.34754508991
404,4332.96463082743
405,3044.69295641064
406,3907.70871837163
407,1326.84149696896
408,5111.64867006698
409,9436.05410916216
410,56125.2294489236
411,9044.54639240756
412,35883.7117148403
414,3876.140625
416,3349.23659508953
417,1360.06368951913
418,8100.1334606745
419,11688.1772588971
420,11136.0219119709
421,2604.84856682859
422,4160.69619435777
423,6049.91561735376
424,1298.39307944926
425,18510.598452046
426,938.566609461151
427,7529.18627807776
428,6770.28791887894
429,3885.46214651291
431,532.254682697272
432,2998.91132519324
433,9453.98850648616
434,914.206178090832
435,12969.4822901915
436,36460.3257738
437,5290.67525404988
439,820.955659449973
440,2432.89681732444
441,2883.57232861564
442,33180.1829172939
443,37764.3084400157
444,1422.50872469688
446,22508.9367053708
447,25415.9200931501
448,43195.4577490655
449,11732.7145766737
450,3047.36020001218
451,8430.61275993913
452,5117.23054305561
453,3543.76859717799
454,10664.9049273395
455,2078.2031314826
456,11119.7151496002
457,2140.54122006026
458,24879.2175833676
460,19524.8867396317
461,6609.01167087547
462,2514.87846253115
463,3925.56456042572
464,27907.976693342
466,98980.3585479955
467,6518.67529177843
468,7361.36376953125
469,674.007305531659
470,2214.3781352802
471,39219.0013041918
472,2801.80346679688
473,2079.63568468846
474,43104.2827297039
475,1494.69190424286
476,639.27081082193
477,4572.13508797379
478,55856.3925080053
480,6481.9926123849
481,2182.35748153531
483,2183.79424817542
484,10806.6297901603
485,1840.79396102443
486,8029.01517086367
487,12385.9884335137
488,18948.2038933955
489,29927.5992711839
490,4834.42464850931
492,14232.8595494314
495,840.665621342504
496,3611.27361190436
497,7021.25422683058
498,974.082551443989
499,7644.6150990916
500,1154.63156630273
501,4508.15530275284
502,8728.75535449198
503,1458.67555986335
504,7583.72448992505
505,3846.68117763475
506,2214.3781352802
507,2183.79424817542
508,15423.0580059721
509,6643.64889410586
510,9280.25319725365
511,2623.50826095412
512,1257.40979003906
513,1189.70233223998
514,4789.681640625
515,5430.02629012271
516,10054.2111734086
517,37133.623113437
518,2796.06294342704
519,7119.19752308544
520,12178.7881649408
523,2712.15558437978
524,2145.13738927593
525,8317.22389604953
526,3560.16467137912
528,3049.48773072841
529,8796.41001568044
530,1723.67901969638
531,2346.19815015632
532,30907.0073723125
533,2291.27303977913
534,876.327642682203
535,2297.08618018121
536,3765.60865433093
537,4661.40269532788
539,10209.2740834065
540,95476.9263481793
541,10044.6180352158
542,3461.27406472917
544,16354.9203931256
545,28768.7286317056
546,31178.6933297272
547,4159.94056320335
548,554.510416722353
549,30282.2886450283
550,1893.51526255872
551,1004.64282665691
552,1452.12447976003
553,7786.4484224601
554,41899.7539987827
555,29692.4304874844
556,5196.52975749676
557,6704.59227948782
558,5989.86792299107
559,58138.3998128493
560,3578.01088142582
561,9560.57506674847
562,12880.369957454
563,70662.4131529348
564,3226.98040674078
565,8997.8979674925
566,725.046740749926
567,30963.0530022941
568,11630.4138425343
569,38814.3717381965
571,10402.5325219692
572,3532.08165145822
573,3086.30564510583
574,2175.46396710757
575,441.47436639843
576,3935.34878194878
577,7012.58747282763
578,1863.32364828708
579,3271.38687255079
580,8408.0698106451
581,10332.2048992104
583,23478.2420619346
585,23556.408203125
586,18252.5727653685
587,29178.6374658122
589,6546.05616612902
590,30640.3456230968
591,7289.34597466264
592,9286.56088022862
593,3868.13919521998
594,4356.14131957793
595,6451.17232031963
596,7037.83549851112
597,17562.0735405922
598,6327.22832540428
599,6134.87215639115
600,27533.7373439965
601,1641.17398955253
602,24371.5988492666
603,11663.2715046648
604,519.931906593849
605,24186.8860086387
606,2814.04105348148
607,28605.1223159604
608,6339.83916853399
609,28523.8861886505
611,2661.92207882686
612,13957.8862044304
613,29062.1238667812
614,3647.99892363929
615,1901.65674128875
617,1328.75828238519
618,1906.7641077741
619,1077.95924490511
620,16063.5956450455
621,22615.9356074635
622,7970.74855910261
624,5009.58647766029
626,6469.719134403
627,29423.1369422323
628,29607.8773263267
629,2718.1439403662
630,1382.35728444413
631,12769.7752890383
632,2210.21098150299
633,14526.3882629125
634,4919.23251453008
635,4248.42720409914
636,1835.41433376188
637,2797.17588237537
638,5186.30145904856
639,1354.53469661785
641,2285.83900969551
643,35222.028724352
644,12170.0676238514
645,10099.3721900352
646,32607.1058796568
647,25230.0115735794
648,28736.5771073504
649,6718.41392102651
650,6606.59463511279
651,28623.5884479367
652,10014.0506910944
653,1875.77803964751
654,1998.10710417551
655,1236.68480196803
656,1614.48855164234
657,16931.5515595725
658,21396.8377455369
659,57572.425797203
660,8628.08475059323
661,2062.81442383197
662,9163.1518516079
663,1036.31023539965
664,19977.0330916142
665,9166.45856443969
666,8862.29006060789
667,1334.37042083172
668,1079.85035058072
670,4538.78111564459
671,3184.11776820205
672,4099.79408726201
673,1361.22370452929
674,5484.48779013089
675,10480.7210077901
676,58575.6792717544
